,Ref,From,To,Level,Item Name,Type,Size,Algn,Picture,Occurs,Value Range
0,2,1,2,5,IA-RECORD-TYPE,,2,,XX,,1
1,3,3,107,5,IA-NAME,,105,,X(105),,
2,5,108,137,10,IA-ADDR-1,,30,,X(30),,
3,6,138,167,10,IA-ADDR-2,,30,,X(30),,
4,7,168,197,10,IA-ADDR-3,,30,,X(30),,
5,8,198,227,10,IA-ADDR-4,,30,,X(30),,
6,9,228,257,10,IA-ADDR-5,,30,,X(30),,
7,10,258,265,10,IA-PCODE,,8,,X(8),,
8,12,266,268,10,IA-COMCODE-COUNT,,3,,999,,1-500
9,13,269,4503,10,IA-COMCODE,,9,,X(9),1-500 ,| + comcode
