,Ref,From,To,Level,Item Name,Type,Size,Algn,Picture,Occurs,Value Range
0,2,1,2,5,IA-T-RECORD-TYPE,,2,,XX,,99.0
1,3,3,11,5,IA-DATA-REC-COUNT,,9,,S9(9),,
