,Ref,From,To,Level,Item Name,Type,Size,Algn,Picture,Occurs,Value Range
0,2,1,2,5,IA-RECORD-TYPE,,2,,XX,,1.0
1,3,3,6,5,IA-YEAR,,4,,X(4),,
2,4,7,11,5,IA-RUNNO,,5,,X(5),,
